Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=60, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00001-step60-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0764 f(x_q)=  0.3566
Itr:   1100 Kimg:      281, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2743 f(x_q)=  0.2392
Itr:   1200 Kimg:      307, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2976 f(x_q)=  0.3130
Itr:   1300 Kimg:      333, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2879 f(x_q)=  0.2764
Itr:   1400 Kimg:      358, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2604 f(x_q)=  0.2208
Itr:   1500 Kimg:      384, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2447 f(x_q)=  0.2039
Itr:   1600 Kimg:      409, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2724 f(x_q)=  0.2645
Itr:   1700 Kimg:      435, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2667 f(x_q)=  0.2178
Itr:   1800 Kimg:      461, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2716 f(x_q)=  0.2892
Itr:   1900 Kimg:      486, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2488 f(x_q)=  0.2616
Itr:   2000 Kimg:      512, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2820 f(x_q)=  0.2729
Calculate FID...
Itr:   2000, FID:   216.291
Itr:   2100 Kimg:      537, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2638 f(x_q)=  0.2741
Itr:   2200 Kimg:      563, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2751 f(x_q)=  0.2830
Itr:   2300 Kimg:      589, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2756 f(x_q)=  0.2546
Itr:   2400 Kimg:      614, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2877 f(x_q)=  0.2937
Itr:   2500 Kimg:      640, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2285 f(x_q)=  0.1887
Itr:   2600 Kimg:      665, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2683 f(x_q)=  0.3188
Itr:   2700 Kimg:      691, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2609 f(x_q)=  0.3251
Itr:   2800 Kimg:      717, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2673 f(x_q)=  0.2483
Itr:   2900 Kimg:      742, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2610 f(x_q)=  0.2451
Itr:   3000 Kimg:      768, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2303 f(x_q)=  0.2531
Itr:   3100 Kimg:      793, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2444 f(x_q)=  0.2216
Itr:   3200 Kimg:      819, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2650 f(x_q)=  0.2836
Itr:   3300 Kimg:      845, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2332 f(x_q)=  0.1865
Itr:   3400 Kimg:      870, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2272 f(x_q)=  0.2489
Itr:   3500 Kimg:      896, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2243 f(x_q)=  0.2084
Itr:   3600 Kimg:      921, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2264 f(x_q)=  0.2275
Itr:   3700 Kimg:      947, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2669 f(x_q)=  0.3200
Itr:   3800 Kimg:      973, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2006 f(x_q)=  0.1786
Itr:   3900 Kimg:      998, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2493 f(x_q)=  0.2282
Itr:   4000 Kimg:     1024, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2416 f(x_q)=  0.2559
Calculate FID...
Itr:   4000, FID:   201.895
Itr:   4100 Kimg:     1049, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2579 f(x_q)=  0.2338
Itr:   4200 Kimg:     1075, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2368 f(x_q)=  0.2083
Itr:   4300 Kimg:     1101, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2248 f(x_q)=  0.1878
Itr:   4400 Kimg:     1126, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2319 f(x_q)=  0.2159
Itr:   4500 Kimg:     1152, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2241 f(x_q)=  0.2096
Itr:   4600 Kimg:     1177, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2407 f(x_q)=  0.2534
Itr:   4700 Kimg:     1203, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2518 f(x_q)=  0.2827
Itr:   4800 Kimg:     1229, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2358 f(x_q)=  0.1964
Itr:   4900 Kimg:     1254, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2529 f(x_q)=  0.3095
Itr:   5000 Kimg:     1280, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2450 f(x_q)=  0.2344
Itr:   5100 Kimg:     1305, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2722 f(x_q)=  0.2487
Itr:   5200 Kimg:     1331, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2302 f(x_q)=  0.2231
Itr:   5300 Kimg:     1357, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2059 f(x_q)=  0.1652
Itr:   5400 Kimg:     1382, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2117 f(x_q)=  0.1645
Itr:   5500 Kimg:     1408, Alpha: 1.00, Res:   8, f(x_p_d)=  0.1951 f(x_q)=  0.1756
Itr:   5600 Kimg:     1433, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2439 f(x_q)=  0.2265
Itr:   5700 Kimg:     1459, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2562 f(x_q)=  0.2156
Itr:   5800 Kimg:     1485, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2134 f(x_q)=  0.2164
Itr:   5900 Kimg:     1510, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2500 f(x_q)=  0.2488
Itr:   6000 Kimg:     1536, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2332 f(x_q)=  0.1902
Calculate FID...
Itr:   6000, FID:   190.615
Itr:   6100 Kimg:     1561, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2692 f(x_q)=  0.2314
Itr:   6200 Kimg:     1587, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2341 f(x_q)=  0.2450
Itr:   6300 Kimg:     1613, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2520 f(x_q)=  0.2655
Itr:   6400 Kimg:     1638, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2198 f(x_q)=  0.2051
Itr:   6500 Kimg:     1664, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2427 f(x_q)=  0.2336
Itr:   6600 Kimg:     1689, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2520 f(x_q)=  0.2644
Itr:   6700 Kimg:     1715, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2456 f(x_q)=  0.2868
Itr:   6800 Kimg:     1741, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2420 f(x_q)=  0.2247
Itr:   6900 Kimg:     1766, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2382 f(x_q)=  0.2284
Itr:   7000 Kimg:     1792, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2367 f(x_q)=  0.2522
Itr:   7100 Kimg:     1817, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2448 f(x_q)=  0.2534
Itr:   7200 Kimg:     1843, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2169 f(x_q)=  0.2263
Itr:   7300 Kimg:     1869, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2532 f(x_q)=  0.2842
Itr:   7400 Kimg:     1894, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2461 f(x_q)=  0.2480
Itr:   7500 Kimg:     1920, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2415 f(x_q)=  0.2817
Itr:   7600 Kimg:     1945, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2480 f(x_q)=  0.2528
Itr:   7700 Kimg:     1971, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2500 f(x_q)=  0.2753
Itr:   7800 Kimg:     1997, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2402 f(x_q)=  0.2552
Itr:   7900 Kimg:     2022, Alpha: 0.02, Res:  16, f(x_p_d)=  0.1947 f(x_q)=  0.1652
Itr:   8000 Kimg:     2048, Alpha: 0.05, Res:  16, f(x_p_d)=  0.2141 f(x_q)=  0.2551
Itr:   8100 Kimg:     2073, Alpha: 0.07, Res:  16, f(x_p_d)=  0.2059 f(x_q)=  0.2287
Itr:   8200 Kimg:     2099, Alpha: 0.10, Res:  16, f(x_p_d)=  0.1819 f(x_q)=  0.1866
Itr:   8300 Kimg:     2125, Alpha: 0.12, Res:  16, f(x_p_d)=  0.1604 f(x_q)=  0.1108
Itr:   8400 Kimg:     2150, Alpha: 0.15, Res:  16, f(x_p_d)=  0.2127 f(x_q)=  0.2045
Itr:   8500 Kimg:     2176, Alpha: 0.18, Res:  16, f(x_p_d)=  0.2900 f(x_q)=  0.2551
Itr:   8600 Kimg:     2201, Alpha: 0.20, Res:  16, f(x_p_d)=  0.1820 f(x_q)=  0.0976
Itr:   8700 Kimg:     2227, Alpha: 0.23, Res:  16, f(x_p_d)=  0.4111 f(x_q)=  0.6454
Itr:   8800 Kimg:     2253, Alpha: 0.25, Res:  16, f(x_p_d)=  0.3981 f(x_q)=  0.6193
Itr:   8900 Kimg:     2278, Alpha: 0.28, Res:  16, f(x_p_d)=  0.2756 f(x_q)=  0.1907
Itr:   9000 Kimg:     2304, Alpha: 0.30, Res:  16, f(x_p_d)=  0.3964 f(x_q)=  0.4012
Itr:   9100 Kimg:     2329, Alpha: 0.33, Res:  16, f(x_p_d)=  0.5089 f(x_q)=  0.5143
Itr:   9200 Kimg:     2355, Alpha: 0.36, Res:  16, f(x_p_d)=  0.5036 f(x_q)=  0.5367
Itr:   9300 Kimg:     2381, Alpha: 0.38, Res:  16, f(x_p_d)=  0.4607 f(x_q)=  0.4546
Itr:   9400 Kimg:     2406, Alpha: 0.41, Res:  16, f(x_p_d)=  0.5010 f(x_q)=  0.4498
Itr:   9500 Kimg:     2432, Alpha: 0.43, Res:  16, f(x_p_d)=  0.4779 f(x_q)=  0.3904
Itr:   9600 Kimg:     2457, Alpha: 0.46, Res:  16, f(x_p_d)=  0.4324 f(x_q)=  0.3412
Itr:   9700 Kimg:     2483, Alpha: 0.48, Res:  16, f(x_p_d)=  0.4779 f(x_q)=  0.3601
Itr:   9800 Kimg:     2509, Alpha: 0.51, Res:  16, f(x_p_d)=  0.4183 f(x_q)=  0.3959
Itr:   9900 Kimg:     2534, Alpha: 0.53, Res:  16, f(x_p_d)=  0.4432 f(x_q)=  0.4891
Itr:  10000 Kimg:     2560, Alpha: 0.56, Res:  16, f(x_p_d)=  0.5915 f(x_q)=  0.8058
Itr:  10100 Kimg:     2585, Alpha: 0.59, Res:  16, f(x_p_d)=  0.4760 f(x_q)=  0.4164
Itr:  10200 Kimg:     2611, Alpha: 0.61, Res:  16, f(x_p_d)=  0.4629 f(x_q)=  0.3724
Itr:  10300 Kimg:     2637, Alpha: 0.64, Res:  16, f(x_p_d)=  0.5431 f(x_q)=  0.5391
Itr:  10400 Kimg:     2662, Alpha: 0.66, Res:  16, f(x_p_d)=  0.4931 f(x_q)=  0.4904
Itr:  10500 Kimg:     2688, Alpha: 0.69, Res:  16, f(x_p_d)=  0.6240 f(x_q)=  0.6451
Itr:  10600 Kimg:     2713, Alpha: 0.71, Res:  16, f(x_p_d)=  0.5006 f(x_q)=  0.5568
Itr:  10700 Kimg:     2739, Alpha: 0.74, Res:  16, f(x_p_d)=  0.4275 f(x_q)=  0.3300
Itr:  10800 Kimg:     2765, Alpha: 0.76, Res:  16, f(x_p_d)=  0.3496 f(x_q)=  0.2122
Itr:  10900 Kimg:     2790, Alpha: 0.79, Res:  16, f(x_p_d)=  0.6004 f(x_q)=  0.4795
Itr:  11000 Kimg:     2816, Alpha: 0.82, Res:  16, f(x_p_d)=  0.6846 f(x_q)=  0.9468
Itr:  11100 Kimg:     2841, Alpha: 0.84, Res:  16, f(x_p_d)=  0.7172 f(x_q)=  0.6479
Itr:  11200 Kimg:     2867, Alpha: 0.87, Res:  16, f(x_p_d)=  0.6529 f(x_q)=  0.7408
Itr:  11300 Kimg:     2893, Alpha: 0.89, Res:  16, f(x_p_d)=  0.7175 f(x_q)=  0.6961
Itr:  11400 Kimg:     2918, Alpha: 0.92, Res:  16, f(x_p_d)=  0.7699 f(x_q)=  0.7363
Itr:  11500 Kimg:     2944, Alpha: 0.94, Res:  16, f(x_p_d)=  0.6927 f(x_q)=  0.5412
Itr:  11600 Kimg:     2969, Alpha: 0.97, Res:  16, f(x_p_d)=  0.9282 f(x_q)=  0.8057
Itr:  11700 Kimg:     2995, Alpha: 1.00, Res:  16, f(x_p_d)=  0.8954 f(x_q)=  0.8294
Itr:  11800 Kimg:     3021, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9925 f(x_q)=  1.0907
Itr:  11900 Kimg:     3046, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0537 f(x_q)=  1.0432
Itr:  12000 Kimg:     3072, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9051 f(x_q)=  0.9032
Calculate FID...
Itr:  12000, FID:   115.900
Itr:  12100 Kimg:     3097, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9335 f(x_q)=  0.6118
Itr:  12200 Kimg:     3123, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9958 f(x_q)=  0.8604
Itr:  12300 Kimg:     3149, Alpha: 1.00, Res:  16, f(x_p_d)=  1.1396 f(x_q)=  1.4253
Itr:  12400 Kimg:     3174, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9929 f(x_q)=  0.9559
Itr:  12500 Kimg:     3200, Alpha: 1.00, Res:  16, f(x_p_d)=  1.2033 f(x_q)=  1.3403
Itr:  12600 Kimg:     3225, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0378 f(x_q)=  0.8894
Itr:  12700 Kimg:     3251, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9683 f(x_q)=  0.8492
Itr:  12800 Kimg:     3277, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9696 f(x_q)=  0.7928
Itr:  12900 Kimg:     3302, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0959 f(x_q)=  1.0706
Itr:  13000 Kimg:     3328, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0379 f(x_q)=  1.1975
Itr:  13100 Kimg:     3353, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9978 f(x_q)=  1.0014
Itr:  13200 Kimg:     3379, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0873 f(x_q)=  1.0843
Itr:  13300 Kimg:     3405, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0663 f(x_q)=  1.2490
Itr:  13400 Kimg:     3430, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9724 f(x_q)=  0.7124
Itr:  13500 Kimg:     3456, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9775 f(x_q)=  1.2033
Itr:  13600 Kimg:     3481, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0623 f(x_q)=  1.0708
Itr:  13700 Kimg:     3507, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0145 f(x_q)=  1.0842
Itr:  13800 Kimg:     3533, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0551 f(x_q)=  1.1522
Itr:  13900 Kimg:     3558, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0670 f(x_q)=  1.1278
Itr:  14000 Kimg:     3584, Alpha: 1.00, Res:  16, f(x_p_d)=  1.1372 f(x_q)=  1.2202
Calculate FID...
Itr:  14000, FID:    99.913
Itr:  14100 Kimg:     3609, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9653 f(x_q)=  0.8694
Itr:  14200 Kimg:     3635, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9697 f(x_q)=  0.9504
Itr:  14300 Kimg:     3661, Alpha: 1.00, Res:  16, f(x_p_d)=  1.1509 f(x_q)=  1.3718
Itr:  14400 Kimg:     3686, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9083 f(x_q)=  0.7391
Itr:  14500 Kimg:     3712, Alpha: 1.00, Res:  16, f(x_p_d)=  0.9432 f(x_q)=  1.0447
Itr:  14600 Kimg:     3737, Alpha: 1.00, Res:  16, f(x_p_d)=  1.1002 f(x_q)=  0.9561
Itr:  14700 Kimg:     3763, Alpha: 1.00, Res:  16, f(x_p_d)=  1.1068 f(x_q)=  1.0918
Itr:  14800 Kimg:     3789, Alpha: 1.00, Res:  16, f(x_p_d)=  1.1515 f(x_q)=  1.4224
Itr:  14900 Kimg:     3814, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0063 f(x_q)=  1.1786
Itr:  15000 Kimg:     3840, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0945 f(x_q)=  1.2597
Itr:  15100 Kimg:     3865, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0511 f(x_q)=  0.8276
Itr:  15200 Kimg:     3891, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0580 f(x_q)=  1.3512
Itr:  15300 Kimg:     3917, Alpha: 1.00, Res:  16, f(x_p_d)=  1.1995 f(x_q)=  1.2052
Itr:  15400 Kimg:     3942, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0253 f(x_q)=  1.3218
Itr:  15500 Kimg:     3968, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0785 f(x_q)=  0.8800
Itr:  15600 Kimg:     3993, Alpha: 1.00, Res:  16, f(x_p_d)=  1.0317 f(x_q)=  0.8837
Itr:  15700 Kimg:     4009, Alpha: 0.01, Res:  32, f(x_p_d)=  0.8124 f(x_q)=  0.6098
Itr:  15800 Kimg:     4022, Alpha: 0.02, Res:  32, f(x_p_d)=  0.9138 f(x_q)=  0.9864
Itr:  15900 Kimg:     4035, Alpha: 0.04, Res:  32, f(x_p_d)=  0.8717 f(x_q)=  1.0246
Itr:  16000 Kimg:     4048, Alpha: 0.05, Res:  32, f(x_p_d)=  0.7162 f(x_q)=  0.7806
Itr:  16100 Kimg:     4061, Alpha: 0.06, Res:  32, f(x_p_d)=  0.7271 f(x_q)=  0.5853
Itr:  16200 Kimg:     4073, Alpha: 0.07, Res:  32, f(x_p_d)=  0.8871 f(x_q)=  0.9159
Itr:  16300 Kimg:     4086, Alpha: 0.09, Res:  32, f(x_p_d)=  0.6433 f(x_q)=  0.4607
Itr:  16400 Kimg:     4099, Alpha: 0.10, Res:  32, f(x_p_d)=  0.7041 f(x_q)=  1.0991
Itr:  16500 Kimg:     4112, Alpha: 0.11, Res:  32, f(x_p_d)=  0.7944 f(x_q)=  0.8455
Itr:  16600 Kimg:     4125, Alpha: 0.12, Res:  32, f(x_p_d)=  0.7099 f(x_q)=  0.6473
Itr:  16700 Kimg:     4137, Alpha: 0.14, Res:  32, f(x_p_d)=  0.6861 f(x_q)=  0.5936
Itr:  16800 Kimg:     4150, Alpha: 0.15, Res:  32, f(x_p_d)=  0.6738 f(x_q)=  0.4666
Itr:  16900 Kimg:     4163, Alpha: 0.16, Res:  32, f(x_p_d)=  0.7818 f(x_q)=  0.6388
Itr:  17000 Kimg:     4176, Alpha: 0.18, Res:  32, f(x_p_d)=  0.6861 f(x_q)=  0.5809
Itr:  17100 Kimg:     4189, Alpha: 0.19, Res:  32, f(x_p_d)=  0.7162 f(x_q)=  0.4512
Itr:  17200 Kimg:     4201, Alpha: 0.20, Res:  32, f(x_p_d)=  0.8701 f(x_q)=  0.8044
Itr:  17300 Kimg:     4214, Alpha: 0.21, Res:  32, f(x_p_d)=  0.8839 f(x_q)=  0.7063
Itr:  17400 Kimg:     4227, Alpha: 0.23, Res:  32, f(x_p_d)=  0.9275 f(x_q)=  0.9841
Itr:  17500 Kimg:     4240, Alpha: 0.24, Res:  32, f(x_p_d)=  1.0781 f(x_q)=  1.3318
Itr:  17600 Kimg:     4253, Alpha: 0.25, Res:  32, f(x_p_d)=  1.1849 f(x_q)=  1.2765
Itr:  17700 Kimg:     4265, Alpha: 0.27, Res:  32, f(x_p_d)=  0.7696 f(x_q)=  0.5850
Itr:  17800 Kimg:     4278, Alpha: 0.28, Res:  32, f(x_p_d)=  0.8338 f(x_q)=  0.8128
Itr:  17900 Kimg:     4291, Alpha: 0.29, Res:  32, f(x_p_d)=  0.9235 f(x_q)=  1.4242
Itr:  18000 Kimg:     4304, Alpha: 0.30, Res:  32, f(x_p_d)=  0.6494 f(x_q)=  0.6337
Itr:  18100 Kimg:     4317, Alpha: 0.32, Res:  32, f(x_p_d)=  1.2687 f(x_q)=  1.5547
Itr:  18200 Kimg:     4329, Alpha: 0.33, Res:  32, f(x_p_d)=  1.1382 f(x_q)=  1.0289
Itr:  18300 Kimg:     4342, Alpha: 0.34, Res:  32, f(x_p_d)=  1.0639 f(x_q)=  0.8859
Itr:  18400 Kimg:     4355, Alpha: 0.36, Res:  32, f(x_p_d)=  0.8448 f(x_q)=  0.9373
Itr:  18500 Kimg:     4368, Alpha: 0.37, Res:  32, f(x_p_d)=  0.6448 f(x_q)=  0.7164
Itr:  18600 Kimg:     4381, Alpha: 0.38, Res:  32, f(x_p_d)=  1.0374 f(x_q)=  0.9750
Itr:  18700 Kimg:     4393, Alpha: 0.39, Res:  32, f(x_p_d)=  1.0842 f(x_q)=  0.9259
Itr:  18800 Kimg:     4406, Alpha: 0.41, Res:  32, f(x_p_d)=  1.1185 f(x_q)=  0.7077
Itr:  18900 Kimg:     4419, Alpha: 0.42, Res:  32, f(x_p_d)=  0.9377 f(x_q)=  0.7739
Itr:  19000 Kimg:     4432, Alpha: 0.43, Res:  32, f(x_p_d)=  1.1146 f(x_q)=  1.2878
Itr:  19100 Kimg:     4445, Alpha: 0.44, Res:  32, f(x_p_d)=  1.1386 f(x_q)=  1.3561
Itr:  19200 Kimg:     4457, Alpha: 0.46, Res:  32, f(x_p_d)=  0.9941 f(x_q)=  0.8950
Itr:  19300 Kimg:     4470, Alpha: 0.47, Res:  32, f(x_p_d)=  1.2823 f(x_q)=  1.3338
Itr:  19400 Kimg:     4483, Alpha: 0.48, Res:  32, f(x_p_d)=  1.4195 f(x_q)=  1.7992
Itr:  19500 Kimg:     4496, Alpha: 0.50, Res:  32, f(x_p_d)=  1.3246 f(x_q)=  1.4191
Itr:  19600 Kimg:     4509, Alpha: 0.51, Res:  32, f(x_p_d)=  1.3190 f(x_q)=  1.0696
Itr:  19700 Kimg:     4521, Alpha: 0.52, Res:  32, f(x_p_d)=  1.3067 f(x_q)=  1.5645
Itr:  19800 Kimg:     4534, Alpha: 0.53, Res:  32, f(x_p_d)=  1.6422 f(x_q)=  1.4713
Itr:  19900 Kimg:     4547, Alpha: 0.55, Res:  32, f(x_p_d)=  1.4538 f(x_q)=  1.1694
Itr:  20000 Kimg:     4560, Alpha: 0.56, Res:  32, f(x_p_d)=  1.5934 f(x_q)=  1.6704
Itr:  20100 Kimg:     4573, Alpha: 0.57, Res:  32, f(x_p_d)=  1.5808 f(x_q)=  1.2414
Itr:  20200 Kimg:     4585, Alpha: 0.59, Res:  32, f(x_p_d)=  1.4480 f(x_q)=  1.1639
Itr:  20300 Kimg:     4598, Alpha: 0.60, Res:  32, f(x_p_d)=  1.3843 f(x_q)=  1.1216
Itr:  20400 Kimg:     4611, Alpha: 0.61, Res:  32, f(x_p_d)=  1.6195 f(x_q)=  0.9046
Itr:  20500 Kimg:     4624, Alpha: 0.62, Res:  32, f(x_p_d)=  1.5562 f(x_q)=  1.0463
Itr:  20600 Kimg:     4637, Alpha: 0.64, Res:  32, f(x_p_d)=  1.3957 f(x_q)=  1.4402
Itr:  20700 Kimg:     4649, Alpha: 0.65, Res:  32, f(x_p_d)=  2.0850 f(x_q)=  2.5583
Itr:  20800 Kimg:     4662, Alpha: 0.66, Res:  32, f(x_p_d)=  1.6735 f(x_q)=  1.2704
Itr:  20900 Kimg:     4675, Alpha: 0.68, Res:  32, f(x_p_d)=  1.9782 f(x_q)=  1.6746
Itr:  21000 Kimg:     4688, Alpha: 0.69, Res:  32, f(x_p_d)=  1.8138 f(x_q)=  1.4076
Itr:  21100 Kimg:     4701, Alpha: 0.70, Res:  32, f(x_p_d)=  2.0249 f(x_q)=  2.4224
Itr:  21200 Kimg:     4713, Alpha: 0.71, Res:  32, f(x_p_d)=  2.2697 f(x_q)=  2.1322
